Trade_id,SystemMarket_id,Trades_id,Year,Month,Day,Hour,Minute,Second,Type,Quantity,Price,Signal,Profit
"1","1","1","2017","5","11","11","15","0","Sell","1","48.06","""Enter1""",
"2","1","1","2017","5","12","10","25","0","SExit","1","47.58","""Profit Target""","480"
"3","1","1","2017","5","12","11","20","0","Buy","1","47.54","""Enter1""",
"4","1","1","2017","5","14","22","45","0","LExit","1","48.11","""Profit Target""","570"
"5","1","1","2017","5","16","9","35","0","Sell","1","49.27","""Enter1""",
"6","1","1","2017","5","16","10","15","0","SExit","1","48.94","""Profit Target""","330"
"7","1","1","2017","5","16","11","15","0","Buy","1","48.84","""Enter1""",
"8","1","1","2017","5","16","14","30","0","LExit","1","48.61","""Stop Loss""","-230"
"9","1","1","2017","5","17","11","0","0","Sell","1","49.2","""Enter1""",
"10","1","1","2017","5","18","1","45","0","SExit","1","49.21","""Enter1""","-10"
"11","1","1","2017","5","18","1","45","0","Buy","1","49.21","""Enter1""",
"12","1","1","2017","5","18","2","30","0","LExit","1","49.28","""Enter1""","70"
"13","1","1","2017","5","18","2","30","0","Sell","1","49.28","""Enter1""",
"14","1","1","2017","5","18","3","20","0","SExit","1","49.36","""Stop Loss""","-80"
"15","1","1","2017","5","18","3","30","0","Sell","1","49.29","""Enter2""",
"16","1","1","2017","5","18","5","45","0","SExit","1","48.96","""Profit Target""","330"
