date_in,date_out,price_in,price_out,profit,type,instrument
2020-12-03 10:05:00,2020-12-03 10:55:00,1835.7,1835.8,10.0,long,GC
2020-12-07 09:50:00,2020-12-07 10:30:00,12591.25,12592.0,15.0,long,NQ
2020-12-07 09:55:00,2020-12-07 11:10:00,12591.25,12576.0,-305.0,long,NQ
2020-12-10 05:05:00,2020-12-10 05:35:00,45.84,45.94,100.0,long,CL
2020-12-10 07:35:00,2020-12-10 07:35:00,3666.0,3662.0,-200.0,long,ES
2020-12-10 19:25:00,2020-12-10 19:50:00,3668.0,3668.25,12.5,long,ES
2020-12-14 16:55:00,2020-12-14 17:00:00,12497.75,12506.0,165.0,long,NQ
2020-12-16 18:15:00,2020-12-16 18:20:00,12629.75,12617.25,-250.0,long,NQ
2020-12-16 18:25:00,2020-12-16 18:35:00,12617.5,12639.75,44.5,long,MNQ
2020-12-16 19:25:00,2020-12-16 19:35:00,12645.25,12639.25,-12.0,long,MNQ
2020-12-17 08:55:00,2020-12-17 09:15:00,3705.0,3708.25,16.25,long,MES
2020-12-17 10:20:00,2020-12-17 10:45:00,3713.0,3713.0,0.0,long,MES
2020-12-17 11:20:00,2020-12-17 11:20:00,1879.8,1881.9,-21.0,short,MGC
2020-12-17 14:25:00,2020-12-17 14:30:00,3712.0,3711.0,-5.0,long,MES
2020-12-17 14:30:00,2020-12-17 14:50:00,3712.0,3710.5,-7.5,long,MES
2020-12-17 16:30:00,2020-12-17 16:30:00,1880.2,1882.8,26.0,long,MGC
